year,state,county,fips,poptotal,pop16o,popu18,pop25o,pop324,pop60o,popnc,popnc18o,pophh,popinst,popogq,popmetro,malepop,femalepop,whitepop,blackpop,hisppop,aapipop,aianpop,multipop,otherpop,enroll,nohs,hsplus,bacc,grad,empop,unempop,cnoninst,hcnone,hcpub,hcpvt,earnmed,earnpc,incmed,incpc
2016,Texas,Randall County,48381,132575,103504,32057,86728,41577,26481,5333,4908,130062,708,1805,132575,64770,67805,95595,3871,28067,2412,786,1844,4117,32896,40760,62918,20287,8610,72328,3208,101069,12643,37287,82645,32000,47031.61368121026,35000,51621.29691631092
2016,Texas,Smith County,48423,226013,176567,55661,147688,68693,49176,12976,12507,219870,2553,3590,226013,108327,117686,135993,40294,43235,2902,1134,2281,6961,52607,81680,108010,25978,10345,96974,7429,170499,34000,82895,109118,26000,37157.58113410227,29300,40548.36421815401
2016,Texas,Taylor County,48441,137564,107569,33639,84420,47865,28066,5054,4838,129690,1730,6144,137564,67926,69638,87643,10674,32886,3066,1008,1843,12266,33243,45584,70912,14833,6235,65992,2554,99706,18292,49279,69993,25000,33902.70012540135,28000,37298.64767731889
2016,Texas,Webb County,48479,270692,187383,92684,148066,107044,33551,57609,52983,268127,1770,795,270692,131133,139559,9542,973,258457,363,336,1021,7640,85393,146365,97593,19704,7030,100890,5036,184885,74764,102357,93571,21100,32487.160934074433,23000,34527.79621930918
2016,Texas,Wichita County,48485,132227,105525,29241,83883,41841,27161,5824,5451,115757,7527,8943,132227,68812,63415,86805,12974,24653,3248,1004,3274,4050,25955,43591,69745,12551,6340,64113,2656,89133,21211,45512,65504,24000,32932.885524793935,25900,36175.256987247994
2016,Texas,Williamson County,48491,528859,403676,139495,348952,161410,89140,27801,26143,523849,3434,1576,528859,259593,269266,318742,31110,127598,34943,1308,13771,14086,134068,166684,218579,100024,43572,264373,16145,398847,44156,113058,371645,40000,54008.01486506985,41000,56862.63014175595
2008,Utah,Davis County,49011,295401,209742,94821,166597,110681,33903,6427,6289,293176,1280,945,295401,148211,147190,259402,2734,21153,6708,1222,4065,3998,78067,106240,132776,40333,16052,147132,4568,207517,27968,47838,219595,31253.600000000002,43361.21189102343,33486,46579.50913102995
2008,Utah,Salt Lake County,49035,1022278,750098,303905,613519,352699,128998,91073,77970,1007727,8923,5628,1022278,519862,502416,770227,15277,165859,46884,4794,18560,19298,264432,390807,435884,129153,66434,518524,21059,735547,165155,171807,685316,31700.08,42937.54780443259,33486,45536.159346593166
2008,Utah,Utah County,49049,530918,363321,182927,255610,237342,48631,24689,21585,516823,2401,11694,530918,265297,265621,457950,2503,49597,7967,1418,10926,16843,183636,205035,234084,66821,24978,235967,11044,349418,75138,87173,368607,22324,36148.05876368913,23440.2,38652.94023295948
2008,Utah,Weber County,49057,227374,168906,66104,136755,77449,32923,11430,10182,223946,2171,1257,227374,115240,112134,179505,3625,36558,4479,969,2238,3781,57840,85572,111368,20290,10144,107363,5490,165478,31836,51252,144286,27905.000000000004,38165.085911867114,30137.4,40814.82989389488
2012,Utah,Davis County,49011,315690,219388,106551,179969,116396,39206,8028,7310,314277,776,637,315690,158338,157352,269121,3876,27453,9808,1180,4147,7814,88320,117887,132795,46179,18829,145572,5059,217988,24315,62044,229331,34798.5,45237.551780080496,36575,48302.6282344949
2012,Utah,Salt Lake County,49035,1064428,790240,304635,648729,362268,142045,83716,75399,1051420,7435,5573,1064428,539974,524454,778581,14209,186205,51842,8409,22668,69402,275879,386695,460789,140923,76021,521744,45706,777473,174385,208835,681208,28214.999999999996,41350.726598667265,30409.499999999996,44117.233580938126
