GEOID,year,d14,d16,state,st,poptotal,noncit,popu18,popu25,pop3o,pop324,vapacs,medage,incmed,incpc,gini,hs,ged,some1,some2,assoc,bacc,mast,prof,phd,enroll,pop_check,nothilat,white,black,amind,asian,hawpi,other,multi,hilat,white_prop,black_prop,amind_prop,asian_prop,hawpi_prop,other_prop,multi_prop,hilat_prop,nonwh_prop
48,2012,0,0,Texas,TX,26059203,2566227,6981175,9668824,24937723,8547344,16511801,33.9,28691,25359,0.4767,3385514,738983,1015898,2743789,1079819,2903294,1076580,240052,164154,7389940,26059203,16098293,11554528,3015396,61331,1037052,18488,31949,379549,9960910,0.44339529493668706,0.11571328562888128,0.0023535255471934424,0.03979599836572131,7.094614520635953e-4,0.001226016006705961,0.014564873683972607,0.3822415443787747,0.5566047050633129
48,2014,1,0,Texas,TX,26956958,2685393,7115836,9869070,25813524,8725636,17155729,34.3,30284,27125,0.4827,3526354,772500,1074624,2772573,1147113,3104847,1184625,266893,192664,7467266,26956958,16548720,11708178,3150560,62460,1151731,17270,34121,424400,10408238,0.43432860636574794,0.1168737214339986,0.0023170270176627495,0.04272481338584272,6.406509221107219e-4,0.0012657585473850573,0.01574361617508919,0.386105806152163,0.5656713936342521
48,2016,0,1,Texas,TX,27862596,2729342,7291694,10087316,26661365,8886085,17841560,34.5,31288,28714,0.48,3701336,773375,1073287,2796013,1259574,3362678,1281070,295098,196841,7603170,27862596,16979317,11843864,3270776,67038,1281698,20254,38404,457283,10883279,0.42508113745036535,0.11738949235024619,0.0024060213197650356,0.04600066698738337,7.269243684256844e-4,0.0013783353137661687,0.016412074452789683,0.3906053477572585,0.5749188625496346
49,2012,0,0,Utah,UT,2855287,138244,887188,1213952,2703854,1062519,1829855,29.9,26426,23213,0.4244,327025,51438,130416,321066,159358,333947,119791,27527,23256,932634,2855287,2475854,2278904,27856,25822,61740,25284,3273,52975,379433,0.7981348284778378,0.009755936968858122,0.009043574253656463,0.021623045249041514,0.008855151863893192,0.001146294575641608,0.018553301296857373,0.13288786731421395,0.2018651715221622
49,2014,1,0,Utah,UT,2942902,141093,905549,1238168,2795749,1091015,1896260,30.5,27449,24877,0.4283,346201,45661,137522,329813,168810,353832,127178,26075,23118,953887,2942902,2545802,2330356,31816,30223,64918,24808,5396,58285,397100,0.7918564736440425,0.010811097345409396,0.010269794916718259,0.02205917832126248,0.008429774419943307,0.0018335642845055662,0.019805280637955325,0.13493483643016316,0.20814352635595745
49,2016,0,1,Utah,UT,3051217,145996,921847,1267973,2900413,1117169,1983374,30.7,30209,26993,0.4263,354303,50302,145106,327002,178193,381130,140249,33569,25987,973643,3051217,2630777,2401230,30915,26769,69181,28870,3070,70742,420440,0.7869745088599074,0.010132022730602248,0.008773220652611729,0.02267324808428899,0.009461798357835578,0.001006155904348986,0.023184847226532888,0.1377941981838722,0.21302549114009262
50,2012,0,0,Vermont,VT,626011,8885,123889,191063,608333,173385,493237,42.4,28629,28818,0.4392,117535,14987,21569,49804,39279,95120,42576,10145,7664,154731,626011,616184,588138,6188,1910,8217,0,301,11430,9827,0.9395010630803612,0.009884810330808883,0.0030510645979064267,0.01312596743507702,0,4.808222219737353e-4,0.01825846510684317,0.015697807227029556,0.06049893691963881
50,2014,1,0,Vermont,VT,626562,11363,121810,188283,608282,170003,493389,42.8,30277,29178,0.4406,120115,14237,24586,57369,34024,91472,43653,10253,7523,146261,626562,615787,584101,5899,2342,9933,365,1351,11796,10775,0.9322317663694893,0.009414870356006268,0.0037378583444256114,0.015853179733210758,5.825441057708575e-4,0.002156211196976516,0.018826548689515162,0.01719702120460545,0.06776823363051065
50,2016,0,1,Vermont,VT,624594,11174,118684,185031,607520,167957,494736,43.1,32028,31836,0.4539,112116,16651,22489,53383,40499,92871,46671,12297,8016,143386,624594,612048,580616,7307,2113,9406,252,727,11627,12546,0.9295894613140696,0.011698799540181302,0.0033829975952378664,0.015059382574920668,4.034620889729969e-4,0.0011639561058863837,0.018615292494004104,0.020086648286727057,0.07041053868593039
51,2012,0,0,Virginia,VA,8185867,446436,1854632,2681101,7885760,2380994,5884799,37.5,33392,32517,0.4661,1176004,216287,325224,774019,395520,1132326,596854,133652,88672,2173528,8185867,7497895,5234502,1549541,15968,466958,5008,12497,213421,687972,0.6394560282985297,0.1892946709249002,0.0019506791400348918,0.05704441569842266,6.117861431171555e-4,0.001526655637087678,0.026071887070728123,0.08404387708717964,0.36054397170147034
51,2014,1,0,Virginia,VA,8326289,455843,1867537,2702994,8027413,2404118,6002909,37.7,35108,34052,0.4658,1164037,218339,339427,781292,408872,1173872,655001,137648,99818,2168651,8326289,7594318,5242578,1572488,17392,507648,4336,20639,229237,731971,0.6296416086446195,0.18885820561837333,0.0020888057092421364,0.06096929856746505,5.207602090198887e-4,0.002478775358385951,0.02753171310772422,0.08791083278516997,0.3703583913553805
51,2016,0,1,Virginia,VA,8411808,450469,1867560,2690635,8116753,2395580,6093779,38.2,36282,36206,0.4705,1147310,225526,347347,769322,438669,1241751,695229,142532,99173,2146237,8411808,7651197,5235564,1575478,19718,527900,6769,23107,262661,760611,0.6224065028588385,0.18729362343981223,0.002344085837432333,0.06275701965617855,8.047021520224903e-4,0.002746971875725171,0.031225272854539715,0.09042182132545108,0.3775934971411615
