fips,year,period,periodName,value,seriesID
01081,2016,M11,November,4.7,LAUCN010810000000003
01081,2016,M10,October,5.2,LAUCN010810000000003
01081,2016,M09,September,5.1,LAUCN010810000000003
01081,2016,M08,August,5.4,LAUCN010810000000003
01081,2016,M07,July,5.6,LAUCN010810000000003
01081,2016,M06,June,6,LAUCN010810000000003
01081,2016,M05,May,4.8,LAUCN010810000000003
01081,2016,M04,April,4.7,LAUCN010810000000003
01081,2016,M03,March,5.4,LAUCN010810000000003
01081,2016,M02,February,5.6,LAUCN010810000000003
01081,2016,M01,January,5.6,LAUCN010810000000003
01081,2015,M12,December,5.1,LAUCN010810000000003
01081,2015,M11,November,4.9,LAUCN010810000000003
01081,2015,M10,October,5,LAUCN010810000000003
01081,2015,M09,September,5,LAUCN010810000000003
01081,2015,M08,August,5.7,LAUCN010810000000003
01081,2015,M07,July,5.9,LAUCN010810000000003
01081,2015,M06,June,6,LAUCN010810000000003
01081,2015,M05,May,5.1,LAUCN010810000000003
01081,2015,M04,April,4.6,LAUCN010810000000003
01081,2015,M03,March,4.9,LAUCN010810000000003
01081,2015,M02,February,5.3,LAUCN010810000000003
01081,2015,M01,January,5.5,LAUCN010810000000003
01081,2014,M12,December,4.5,LAUCN010810000000003
01081,2014,M11,November,4.7,LAUCN010810000000003
01081,2014,M10,October,5,LAUCN010810000000003
01081,2014,M09,September,5,LAUCN010810000000003
01081,2014,M08,August,5.9,LAUCN010810000000003
01081,2014,M07,July,6.2,LAUCN010810000000003
01081,2014,M06,June,6.3,LAUCN010810000000003
01081,2014,M05,May,5.3,LAUCN010810000000003
01081,2014,M04,April,5.1,LAUCN010810000000003
01081,2014,M03,March,6.2,LAUCN010810000000003
01081,2014,M02,February,6.4,LAUCN010810000000003
01081,2014,M01,January,6.4,LAUCN010810000000003
01081,2013,M12,December,5.5,LAUCN010810000000003
01081,2013,M11,November,5.3,LAUCN010810000000003
01081,2013,M10,October,5.4,LAUCN010810000000003
01081,2013,M09,September,5.4,LAUCN010810000000003
01081,2013,M08,August,6,LAUCN010810000000003
01081,2013,M07,July,6.3,LAUCN010810000000003
01081,2013,M06,June,6.5,LAUCN010810000000003
01081,2013,M05,May,5.3,LAUCN010810000000003
01081,2013,M04,April,5.1,LAUCN010810000000003
01081,2013,M03,March,6,LAUCN010810000000003
01081,2013,M02,February,6.5,LAUCN010810000000003
01081,2013,M01,January,7,LAUCN010810000000003
01081,2012,M12,December,6.2,LAUCN010810000000003
01081,2012,M11,November,5.7,LAUCN010810000000003
01081,2012,M10,October,6.4,LAUCN010810000000003
01081,2012,M09,September,6.3,LAUCN010810000000003
01081,2012,M08,August,7.2,LAUCN010810000000003
01081,2012,M07,July,7.9,LAUCN010810000000003
01081,2012,M06,June,8.1,LAUCN010810000000003
01081,2012,M05,May,6.7,LAUCN010810000000003
01081,2012,M04,April,6,LAUCN010810000000003
01081,2012,M03,March,6.7,LAUCN010810000000003
01081,2012,M02,February,6.9,LAUCN010810000000003
